microscopy,feature,n,rho,p,q
caspr1_mean_nm,sas,32,0.7768875199166622,1.712524034973959e-07,3.5713572042626835e-06
caspr1_mean_nm,duration_months,32,0.7383102013519708,1.4109977116019018e-06,8.46598626961141e-06
caspr1_mean_nm,nis_ll,32,0.6780480112635023,2.0075523649600224e-05,5.353472973226726e-05
caspr1_mean_nm,npsi,32,0.6386109715148558,8.381728238170984e-05,0.00020116147771610362
caspr1_mean_nm,sex,32,0.4253202703492783,0.015234845528853914,0.028125868668653378
caspr1_mean_nm,hba1c_pct,32,0.3980042396491215,0.024070928272682333,0.041264448467455424
caspr1_mean_nm,age,32,0.36910674122545706,0.0376207893049662,0.060193262887945916
caspr1_mean_nm,snap_sural_nerve,32,0.10188844999593889,0.5789738628382619,0.5789738628382619
nf155_mean_nm,sas,32,0.7602343976053879,4.4641965053283544e-07,4.110057683937501e-06
nf155_mean_nm,duration_months,32,0.7159141592544046,4.092255686999365e-06,1.4454189638047032e-05
nf155_mean_nm,nis_ll,32,0.7152567300444401,4.215805311097051e-06,1.636902274799746e-05
nf155_mean_nm,npsi,32,0.49973842691559345,0.0035887718325649117,0.00783004763468708
nf155_mean_nm,age,32,0.3469089700086179,0.05174768234066891,0.07762152351100338
nf155_mean_nm,sex,32,0.27476442243802934,0.12802746182795594,0.160471060194527
nf155_mean_nm,snap_sural_nerve,32,0.2664774846047633,0.14041217767021114,0.1707032824372746
nf155_mean_nm,hba1c_pct,32,0.14082934946096717,0.44201262304259836,0.4612305631748852
nf186_mean_nm,sas,32,0.7602343976053879,4.4641965053283544e-07,5.3570358063940255e-06
nf186_mean_nm,duration_months,32,0.7159141592544046,4.092255686999365e-06,1.2647415933291154e-05
nf186_mean_nm,nis_ll,32,0.7152567300444401,4.215805311097051e-06,1.9642827297596954e-05
nf186_mean_nm,npsi,32,0.49973842691559345,0.0035887718325649117,0.007177543665129823
nf186_mean_nm,age,32,0.3469089700086179,0.05174768234066891,0.07305555153976788
nf186_mean_nm,sex,32,0.27476442243802934,0.12802746182795594,0.16171889915110224
nf186_mean_nm,snap_sural_nerve,32,0.2664774846047633,0.14041217767021114,0.16849461320425335
nf186_mean_nm,hba1c_pct,32,0.14082934946096717,0.44201262304259836,0.48219558877374363
