features,AUC_boot,AUC_CI_lo,AUC_CI_hi
"nf155_mean_nm,duration_months",1.0,1.0,1.0
"nf186_mean_nm,duration_months",1.0,1.0,1.0
"duration_months,caspr1_mean_nm",1.0,1.0,1.0
"nf186_mean_nm,caspr1_mean_nm",0.9954574898785427,0.9837550607287449,1.0
"nf155_mean_nm,caspr1_mean_nm",0.9953967611336034,0.9838056680161944,1.0
"nf155_mean_nm,sas",0.9937024291497976,0.9757085020242915,1.0
"nf186_mean_nm,sas",0.9935931174089069,0.9757085020242915,1.0
"nf155_mean_nm,nf186_mean_nm",0.991751012145749,0.9757085020242915,1.0
"caspr1_mean_nm,sas",0.9884655870445345,0.951417004048583,1.0
"duration_months,sas",0.982340909090909,0.9545454545454546,1.0
