pair,n,cut1,cut2,sens_mean,sens_lo,sens_hi,spec_mean,spec_lo,spec_hi,BA_mean,BA_lo,BA_hi,AUC_mean,AUC_lo,AUC_hi
duration_months OR nis_ll,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
duration_months OR sas,35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
duration_months OR nf155_mean_nm,32,1.0,253.19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
duration_months OR nf186_mean_nm,32,1.0,253.19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
nis_ll OR nf155_mean_nm,32,1.0,253.19,0.9488684210526317,0.8421052631578947,1.0,1.0,1.0,1.0,0.9744342105263156,0.9210526315789473,1.0,0.9744342105263156,0.9210526315789473,1.0
nis_ll OR nf186_mean_nm,32,1.0,253.19,0.9475789473684211,0.8421052631578947,1.0,1.0,1.0,1.0,0.9737894736842104,0.9210526315789473,1.0,0.9737894736842104,0.9210526315789473,1.0
sas OR nf186_mean_nm,32,1.0,253.19,0.9472368421052633,0.8421052631578947,1.0,1.0,1.0,1.0,0.9736184210526315,0.9210526315789473,1.0,0.9736184210526315,0.9210526315789473,1.0
sas OR nf155_mean_nm,32,1.0,253.19,0.9469736842105264,0.8421052631578947,1.0,1.0,1.0,1.0,0.9734868421052632,0.9210526315789473,1.0,0.9734868421052632,0.9210526315789473,1.0
duration_months AND nf155_mean_nm,32,1.0,253.19,0.8959736842105264,0.7368421052631579,1.0,1.0,1.0,1.0,0.9479868421052631,0.868421052631579,1.0,1.0,1.0,1.0
duration_months AND nf186_mean_nm,32,1.0,253.19,0.8916842105263159,0.7368421052631579,1.0,1.0,1.0,1.0,0.9458421052631578,0.868421052631579,1.0,1.0,1.0,1.0
sas AND nf186_mean_nm,32,1.0,253.19,0.8436052631578946,0.6842105263157895,1.0,1.0,1.0,1.0,0.9218026315789473,0.8421052631578947,1.0,0.9744605263157894,0.9210526315789473,1.0
sas AND nf155_mean_nm,32,1.0,253.19,0.8422894736842104,0.6842105263157895,1.0,1.0,1.0,1.0,0.9211447368421053,0.8421052631578947,1.0,0.9732236842105263,0.9210526315789473,1.0
duration_months AND sas,35,1.0,1.0,0.76975,0.5909090909090909,0.9090909090909091,1.0,1.0,1.0,0.884875,0.7954545454545454,0.9545454545454546,1.0,1.0,1.0
nis_ll AND nf155_mean_nm,32,1.0,253.19,0.6830263157894736,0.47368421052631576,0.8947368421052632,1.0,1.0,1.0,0.8415131578947368,0.7368421052631579,0.9473684210526316,0.9731842105263158,0.9210526315789473,1.0
nis_ll AND nf186_mean_nm,32,1.0,253.19,0.6819473684210526,0.47368421052631576,0.8947368421052632,1.0,1.0,1.0,0.8409736842105262,0.7368421052631579,0.9473684210526316,0.9739868421052631,0.9210526315789473,1.0
duration_months AND nis_ll,35,1.0,1.0,0.6792727272727273,0.49886363636363645,0.8636363636363636,1.0,1.0,1.0,0.8396363636363636,0.7494318181818183,0.9318181818181819,1.0,1.0,1.0
