n_features,features,AUC,Accuracy,Rules
2,"ienfd_per_mm_high,nis_ll_high",0.784313725490196,0.6571428571428571,"|--- nis_ll_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"ienfd_per_mm_high,nis_ll_high,age_high",0.784313725490196,0.6571428571428571,"|--- nis_ll_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"ienfd_per_mm_high,nis_ll_high,duration_months_high",0.784313725490196,0.6571428571428571,"|--- nis_ll_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"ienfd_per_mm_high,age_high,duration_months_high",0.7745098039215685,0.7428571428571429,"|--- duration_months_high <= 0.50
|   |--- age_high <= 0.50
|   |   |--- class: 0
|   |--- age_high >  0.50
|   |   |--- class: 1
|--- duration_months_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"ienfd_per_mm_high,nis_ll_high,sex_high",0.7647058823529411,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 1
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
"
3,"npsi_high,ienfd_per_mm_high,age_high",0.7516339869281045,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
2,"npsi_high,ienfd_per_mm_high",0.7516339869281045,0.7714285714285715,"|--- npsi_high <= 0.50
|   |--- ienfd_per_mm_high <= 0.50
|   |   |--- class: 0
|   |--- ienfd_per_mm_high >  0.50
|   |   |--- class: 1
|--- npsi_high >  0.50
|   |--- class: 1
"
3,"nis_ll_high,sex_high,duration_months_high",0.7352941176470588,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 1
|   |--- sex_high >  0.50
|   |   |--- class: 1
"
2,"nis_ll_high,sex_high",0.7254901960784313,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 1
|   |--- sex_high >  0.50
|   |   |--- class: 1
"
3,"nis_ll_high,age_high,sex_high",0.7254901960784313,0.7714285714285715,"|--- nis_ll_high <= 0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 0
|   |--- sex_high >  0.50
|   |   |--- class: 0
|--- nis_ll_high >  0.50
|   |--- sex_high <= 0.50
|   |   |--- class: 1
|   |--- sex_high >  0.50
|   |   |--- class: 1
"
