features,k,n_samples,pos,neg,max_depth,min_samples_leaf,auc_loocv,acc_loocv,sens_loocv,spec_loocv,err
"group,nis_ll",2,35,18,17,3,2,1.0,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,nis_ll",2,35,18,17,3,2,1.0,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,nis_ll",3,35,18,17,3,2,1.0,0.8857142857142857,1.0,0.7647058823529411,
"group,nis_ll",2,35,18,17,4,2,0.9607843137254901,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,nis_ll",2,35,18,17,4,2,0.9607843137254901,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,nis_ll",3,35,18,17,4,2,0.9542483660130718,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,npsi",3,35,18,17,4,3,0.9526143790849673,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,npsi",4,35,18,17,4,3,0.9526143790849673,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,npsi",4,35,18,17,3,3,0.946078431372549,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll,npsi",5,35,18,17,3,3,0.9444444444444444,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll,npsi",5,35,18,17,3,3,0.9444444444444444,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,npsi",3,35,18,17,3,3,0.9428104575163399,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,nis_ll,npsi",3,35,18,17,3,2,0.9411764705882353,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,nis_ll,npsi",4,35,18,17,3,2,0.9411764705882353,0.8857142857142857,1.0,0.7647058823529411,
"group,age,npsi",3,35,18,17,3,3,0.9379084967320261,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,npsi",4,35,18,17,3,3,0.9379084967320261,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,sex,npsi",5,35,18,17,3,3,0.9379084967320261,0.8857142857142857,1.0,0.7647058823529411,
"group,age,nis_ll,npsi",4,35,18,17,3,3,0.9362745098039216,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,npsi",4,35,18,17,3,3,0.9362745098039216,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,nis_ll,npsi",5,35,18,17,3,3,0.9362745098039216,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,nis_ll,npsi",3,35,18,17,4,2,0.934640522875817,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,nis_ll,npsi",4,35,18,17,3,3,0.9346405228758169,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,npsi",3,35,18,17,3,2,0.9330065359477123,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,sex,nis_ll",3,35,18,17,3,2,0.9281045751633986,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,nis_ll",3,35,18,17,3,2,0.9281045751633986,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,nis_ll",4,35,18,17,3,2,0.9281045751633986,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,age,npsi",4,35,18,17,4,3,0.9281045751633986,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,npsi",4,35,18,17,4,3,0.9281045751633986,0.8857142857142857,1.0,0.7647058823529411,
"group,nis_ll,npsi",3,35,18,17,4,2,0.9281045751633986,0.8857142857142857,1.0,0.7647058823529411,
"group,age,npsi",3,35,18,17,3,2,0.9281045751633986,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,age,sex,npsi",5,35,18,17,3,2,0.9281045751633986,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"diabetes_type,sex,nis_ll,npsi",4,35,18,17,3,2,0.926470588235294,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,nis_ll,npsi",5,35,18,17,3,2,0.926470588235294,0.8857142857142857,1.0,0.7647058823529411,
"group,age,nis_ll,npsi",4,35,18,17,4,3,0.926470588235294,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,npsi",4,35,18,17,3,2,0.926470588235294,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,age,nis_ll,npsi",5,35,18,17,4,2,0.9248366013071895,0.8857142857142857,1.0,0.7647058823529411,
"group,age,sex,nis_ll,npsi",5,35,18,17,4,2,0.9248366013071895,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,hba1c_pct,npsi",3,35,18,17,4,2,0.9248366013071895,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"group,diabetes_type,hba1c_pct,npsi",4,35,18,17,4,2,0.9248366013071895,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"diabetes_type,sex,hba1c_pct,npsi",4,35,18,17,4,2,0.9248366013071895,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"group,diabetes_type,sex,hba1c_pct,npsi",5,35,18,17,4,2,0.9248366013071895,0.7714285714285715,0.7777777777777778,0.7647058823529411,
"group,nis_ll",2,35,18,17,3,4,0.9215686274509803,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,nis_ll",2,35,18,17,3,4,0.9215686274509803,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,nis_ll",3,35,18,17,3,4,0.9215686274509803,0.8857142857142857,1.0,0.7647058823529411,
"group,sex,nis_ll",3,35,18,17,3,4,0.9215686274509803,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,sex,nis_ll",3,35,18,17,3,4,0.9215686274509803,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,sex,nis_ll",4,35,18,17,3,4,0.9215686274509803,0.8857142857142857,1.0,0.7647058823529411,
"group,diabetes_type,nis_ll,npsi",4,35,18,17,4,2,0.9215686274509803,0.8857142857142857,1.0,0.7647058823529411,
"group,nis_ll",2,35,18,17,3,3,0.9215686274509803,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"diabetes_type,nis_ll",2,35,18,17,3,3,0.9215686274509803,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,nis_ll",3,35,18,17,3,3,0.9215686274509803,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,diabetes_type,sex,nis_ll",4,35,18,17,3,3,0.9215686274509803,0.8285714285714286,0.8888888888888888,0.7647058823529411,
"group,age,sex,nis_ll,npsi",5,35,18,17,4,3,0.9199346405228758,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,sex,nis_ll,npsi",5,35,18,17,4,3,0.9199346405228758,0.8857142857142857,1.0,0.7647058823529411,
"diabetes_type,age,snap_sural_nerve,npsi",4,35,18,17,4,3,0.9183006535947712,0.9142857142857143,0.9444444444444444,0.8823529411764706,
"diabetes_type,age,sex,snap_sural_nerve,npsi",5,35,18,17,4,3,0.9183006535947712,0.9142857142857143,0.9444444444444444,0.8823529411764706,
