features,k,n,max_depth,min_leaf,auc_loocv,acc_loocv,sens,spec
"hba1c_pct,sas",2,35,2,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas",3,35,2,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas",3,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas",3,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas",3,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,sas,npsi",3,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,sas,ienfd_per_mm",3,35,2,3,1.0,1.0,1.0,1.0
"age,sex,hba1c_pct,sas",4,35,2,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,snap_sural_nerve,sas",4,35,2,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,nis_ll,sas",4,35,2,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas,npsi",4,35,2,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas,ienfd_per_mm",4,35,2,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,snap_sural_nerve,sas",4,35,2,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,nis_ll,sas",4,35,2,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas,npsi",4,35,2,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas,ienfd_per_mm",4,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,sas",4,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas,npsi",4,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas,ienfd_per_mm",4,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas,npsi",4,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas,ienfd_per_mm",4,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,sas,npsi,ienfd_per_mm",4,35,2,3,1.0,1.0,1.0,1.0
"hba1c_pct,sas",2,35,2,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas",3,35,2,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas",3,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas",3,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas",3,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,sas,npsi",3,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,sas,ienfd_per_mm",3,35,2,2,1.0,1.0,1.0,1.0
"age,sex,hba1c_pct,sas",4,35,2,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,snap_sural_nerve,sas",4,35,2,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,nis_ll,sas",4,35,2,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas,npsi",4,35,2,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas,ienfd_per_mm",4,35,2,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,snap_sural_nerve,sas",4,35,2,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,nis_ll,sas",4,35,2,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas,npsi",4,35,2,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas,ienfd_per_mm",4,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,sas",4,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas,npsi",4,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas,ienfd_per_mm",4,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas,npsi",4,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas,ienfd_per_mm",4,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,sas,npsi,ienfd_per_mm",4,35,2,2,1.0,1.0,1.0,1.0
"hba1c_pct,sas",2,35,3,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas",3,35,3,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas",3,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas",3,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas",3,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,sas,npsi",3,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,sas,ienfd_per_mm",3,35,3,3,1.0,1.0,1.0,1.0
"age,sex,hba1c_pct,sas",4,35,3,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,snap_sural_nerve,sas",4,35,3,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,nis_ll,sas",4,35,3,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas,npsi",4,35,3,3,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas,ienfd_per_mm",4,35,3,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,snap_sural_nerve,sas",4,35,3,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,nis_ll,sas",4,35,3,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas,npsi",4,35,3,3,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas,ienfd_per_mm",4,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,sas",4,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas,npsi",4,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas,ienfd_per_mm",4,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas,npsi",4,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas,ienfd_per_mm",4,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,sas,npsi,ienfd_per_mm",4,35,3,3,1.0,1.0,1.0,1.0
"hba1c_pct,sas",2,35,3,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas",3,35,3,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas",3,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas",3,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas",3,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,sas,npsi",3,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,sas,ienfd_per_mm",3,35,3,2,1.0,1.0,1.0,1.0
"age,sex,hba1c_pct,sas",4,35,3,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,snap_sural_nerve,sas",4,35,3,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,nis_ll,sas",4,35,3,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas,npsi",4,35,3,2,1.0,1.0,1.0,1.0
"age,hba1c_pct,sas,ienfd_per_mm",4,35,3,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,snap_sural_nerve,sas",4,35,3,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,nis_ll,sas",4,35,3,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas,npsi",4,35,3,2,1.0,1.0,1.0,1.0
"sex,hba1c_pct,sas,ienfd_per_mm",4,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,sas",4,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas,npsi",4,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,snap_sural_nerve,sas,ienfd_per_mm",4,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas,npsi",4,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll,sas,ienfd_per_mm",4,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,sas,npsi,ienfd_per_mm",4,35,3,2,1.0,1.0,1.0,1.0
"hba1c_pct,nis_ll",2,35,2,3,1.0,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,nis_ll",3,35,2,3,1.0,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,nis_ll",3,35,2,3,1.0,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,nis_ll",4,35,2,3,1.0,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,nis_ll,npsi,ienfd_per_mm",4,35,2,3,1.0,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,nis_ll",2,35,2,2,1.0,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,nis_ll",3,35,2,2,1.0,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,nis_ll",3,35,2,2,1.0,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,nis_ll",4,35,2,2,1.0,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,nis_ll,npsi,ienfd_per_mm",4,35,2,2,1.0,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,nis_ll",4,35,3,4,1.0,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,nis_ll",2,35,3,3,1.0,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,nis_ll",3,35,3,3,1.0,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,nis_ll",3,35,3,3,1.0,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,nis_ll",4,35,3,3,1.0,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,nis_ll",3,35,3,4,1.0,0.9428571428571428,0.9090909090909091,1.0
"hba1c_pct,nis_ll",2,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,sas",2,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"age,hba1c_pct,nis_ll",3,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"sex,hba1c_pct,nis_ll",3,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,snap_sural_nerve,sas",3,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,nis_ll,sas",3,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,sas,npsi",3,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,sas,ienfd_per_mm",3,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"age,sex,hba1c_pct,nis_ll",4,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"age,hba1c_pct,sas,ienfd_per_mm",4,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"sex,hba1c_pct,sas,ienfd_per_mm",4,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,sas",4,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,snap_sural_nerve,sas,npsi",4,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,snap_sural_nerve,sas,ienfd_per_mm",4,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,nis_ll,sas,npsi",4,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,nis_ll,sas,ienfd_per_mm",4,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,sas,npsi,ienfd_per_mm",4,35,2,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,nis_ll",2,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,sas",2,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"sex,hba1c_pct,nis_ll",3,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,snap_sural_nerve,sas",3,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,nis_ll,sas",3,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,sas,npsi",3,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,sas,ienfd_per_mm",3,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"age,hba1c_pct,sas,ienfd_per_mm",4,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"sex,hba1c_pct,sas,ienfd_per_mm",4,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,snap_sural_nerve,nis_ll,sas",4,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,snap_sural_nerve,sas,npsi",4,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,snap_sural_nerve,sas,ienfd_per_mm",4,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,nis_ll,sas,npsi",4,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,nis_ll,sas,ienfd_per_mm",4,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
"hba1c_pct,sas,npsi,ienfd_per_mm",4,35,3,4,1.0,0.8857142857142857,0.8181818181818182,1.0
hba1c_pct,1,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct",2,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct",2,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve",2,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,npsi",2,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,ienfd_per_mm",2,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,snap_sural_nerve",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,npsi",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,hba1c_pct,ienfd_per_mm",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,snap_sural_nerve",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,npsi",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"sex,hba1c_pct,ienfd_per_mm",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,npsi",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,snap_sural_nerve,ienfd_per_mm",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"hba1c_pct,npsi,ienfd_per_mm",3,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
"age,sex,hba1c_pct,snap_sural_nerve",4,35,2,4,0.9772727272727273,0.9714285714285714,0.9545454545454546,1.0
