microscopy,feature,n,rho,p,q
caspr1_mean_nm,sas,32,0.7768875199166622,1.712524034973959e-07,4.017776854795519e-06
caspr1_mean_nm,duration_months,32,0.7383102013519708,1.4109977116019018e-06,9.524234553312837e-06
caspr1_mean_nm,nis_ll,32,0.6780480112635023,2.0075523649600224e-05,6.022657094880067e-05
caspr1_mean_nm,npsi,32,0.6386109715148558,8.381728238170984e-05,0.00022630666243061656
caspr1_mean_nm,sex,32,0.4253202703492783,0.015234845528853914,0.03164160225223505
caspr1_mean_nm,hba1c_pct,32,0.3980042396491215,0.024070928272682333,0.04642250452588736
caspr1_mean_nm,age,32,0.36910674122545706,0.0376207893049662,0.06771742074893915
caspr1_mean_nm,snap_sural_nerve,32,0.10188844999593889,0.5789738628382619,0.6012420883320412
caspr1_mean_nm,ienfd_per_mm,32,-0.09545591310491157,0.6032825449314856,0.6032825449314856
nf155_mean_nm,sas,32,0.7602343976053879,4.4641965053283544e-07,4.623814894429689e-06
nf155_mean_nm,duration_months,32,0.7159141592544046,4.092255686999365e-06,1.6260963342802912e-05
nf155_mean_nm,nis_ll,32,0.7152567300444401,4.215805311097051e-06,1.8415150591497143e-05
nf155_mean_nm,npsi,32,0.49973842691559345,0.0035887718325649117,0.008074736623271052
nf155_mean_nm,age,32,0.3469089700086179,0.05174768234066891,0.08218749548223886
nf155_mean_nm,sex,32,0.27476442243802934,0.12802746182795594,0.18193376154499
nf155_mean_nm,snap_sural_nerve,32,0.2664774846047633,0.14041217767021114,0.18955643985478504
nf155_mean_nm,hba1c_pct,32,0.14082934946096717,0.44201262304259836,0.5188843835717459
nf155_mean_nm,ienfd_per_mm,32,0.12270255237951737,0.5034764848535488,0.5437546036418327
nf186_mean_nm,sas,32,0.7602343976053879,4.4641965053283544e-07,6.026665282193279e-06
nf186_mean_nm,duration_months,32,0.7159141592544046,4.092255686999365e-06,1.4228342924952547e-05
nf186_mean_nm,nis_ll,32,0.7152567300444401,4.215805311097051e-06,2.209818070979657e-05
nf186_mean_nm,npsi,32,0.49973842691559345,0.0035887718325649117,0.008808803589022966
nf186_mean_nm,age,32,0.3469089700086179,0.05174768234066891,0.08732421394987878
nf186_mean_nm,sex,32,0.27476442243802934,0.12802746182795594,0.18052994271884287
nf186_mean_nm,snap_sural_nerve,32,0.2664774846047633,0.14041217767021114,0.1920411927419339
nf186_mean_nm,hba1c_pct,32,0.14082934946096717,0.44201262304259836,0.5424700373704616
nf186_mean_nm,ienfd_per_mm,32,0.12270255237951737,0.5034764848535488,0.5664110454602423
