features,n,sens,spec,BA,op
sas AND duration_months,35,0.9375,0.8947368421052632,0.9161184210526316,AND
duration_months AND sex,35,0.9375,0.8421052631578947,0.8898026315789473,AND
sas AND sex,35,0.875,0.8947368421052632,0.8848684210526316,AND
sas AND hba1c_pct,35,0.75,1.0,0.875,AND
duration_months OR hba1c_pct,35,1.0,0.7368421052631579,0.868421052631579,OR
sas OR nis_ll,35,0.9375,0.7894736842105263,0.8634868421052632,OR
sas OR duration_months,35,1.0,0.6842105263157895,0.8421052631578947,OR
sas OR hba1c_pct,35,1.0,0.6842105263157895,0.8421052631578947,OR
duration_months OR nis_ll,35,1.0,0.6842105263157895,0.8421052631578947,OR
nis_ll OR hba1c_pct,35,0.9375,0.7368421052631579,0.837171052631579,OR
duration_months AND hba1c_pct,35,0.8125,0.8421052631578947,0.8273026315789473,AND
sas AND nis_ll,35,0.75,0.8947368421052632,0.8223684210526316,AND
duration_months AND nis_ll,35,0.75,0.8947368421052632,0.8223684210526316,AND
hba1c_pct AND sex,35,0.75,0.8947368421052632,0.8223684210526316,AND
nis_ll AND sex,35,0.6875,0.9473684210526315,0.8174342105263157,AND
nis_ll AND hba1c_pct,35,0.625,0.9473684210526315,0.7861842105263157,AND
sas OR sex,35,1.0,0.42105263157894735,0.7105263157894737,OR
hba1c_pct OR sex,35,1.0,0.42105263157894735,0.7105263157894737,OR
duration_months OR sex,35,1.0,0.3684210526315789,0.6842105263157895,OR
nis_ll OR sex,35,1.0,0.3684210526315789,0.6842105263157895,OR
