features,n,sens,spec,BA,op
sas AND duration_months,35,1.0,0.9473684210526315,0.9736842105263157,AND
sas OR nis_ll,35,1.0,0.8421052631578947,0.9210526315789473,OR
sas OR npsi,35,1.0,0.8421052631578947,0.9210526315789473,OR
sas AND age,35,0.8125,1.0,0.90625,AND
nis_ll OR npsi,35,0.875,0.8947368421052632,0.8848684210526316,OR
sas AND nis_ll,35,0.8125,0.9473684210526315,0.8799342105263157,AND
nis_ll AND duration_months,35,0.8125,0.9473684210526315,0.8799342105263157,AND
duration_months AND age,35,0.8125,0.8947368421052632,0.8536184210526316,AND
nis_ll AND age,35,0.75,0.9473684210526315,0.8486842105263157,AND
sas OR duration_months,35,1.0,0.6842105263157895,0.8421052631578947,OR
nis_ll OR duration_months,35,1.0,0.6842105263157895,0.8421052631578947,OR
duration_months OR npsi,35,1.0,0.6842105263157895,0.8421052631578947,OR
sas OR age,35,1.0,0.5789473684210527,0.7894736842105263,OR
age OR npsi,35,0.9375,0.631578947368421,0.7845394736842105,OR
duration_months OR age,35,1.0,0.5263157894736842,0.763157894736842,OR
nis_ll OR age,35,0.875,0.631578947368421,0.7532894736842105,OR
sas AND npsi,35,0.4375,0.9473684210526315,0.6924342105263157,AND
duration_months AND npsi,35,0.4375,0.9473684210526315,0.6924342105263157,AND
nis_ll AND npsi,35,0.375,0.8947368421052632,0.6348684210526316,AND
age AND npsi,35,0.3125,0.9473684210526315,0.6299342105263157,AND
