image,node_id,centroid_x_px,centroid_y_px,area_um2,major_axis_nm,minor_axis_nm,aspect_ratio,orientation_deg,mean_intensity,total_intensity,srs_mean,srs_max,ac_peak_raw,period_raw_nm,r2_raw_detected,r2_raw_190nm,entropy_raw,ac_peak_srs,period_srs_nm,r2_srs_detected,entropy_srs,periodicity_score_raw,periodicity_score_srs
dImage3,1,863.1,155.1,0.0816,459.0,264.6,1.73,12.0,26.82,5256.0,0.2327,1.0,0.0937,265.2,0.2175,0.0716,0.6516,0.0,190.0,0.0018,0.3985,0.1941,0.121
dImage3,2,771.0,236.9,0.0732,778.8,221.5,3.52,104.0,26.87,4729.0,0.1507,1.0,0.0339,285.6,0.2043,0.0377,0.5883,0.0,190.0,0.0011,0.4456,0.1776,0.1113
dImage3,3,820.8,440.6,1.4536,2254.8,1621.0,1.39,170.0,58.87,205625.0,0.1236,1.0,0.0,190.0,0.0003,0.0003,0.357,0.0,190.0,0.0008,0.3275,0.1287,0.1348
dImage3,4,884.0,433.0,0.1498,523.8,410.8,1.28,0.0,16.24,5846.0,0.1853,1.0,0.0,190.0,0.0209,0.0209,0.4703,0.3204,183.6,0.089,0.5751,0.1143,0.2488
dImage3,5,444.3,479.5,0.0999,443.7,328.8,1.35,122.0,18.26,4383.0,0.237,1.0,0.0,190.0,0.0651,0.0651,0.5909,0.0,190.0,0.0009,0.2738,0.1079,0.1456
dImage3,6,497.7,508.6,0.0836,500.3,282.8,1.77,120.0,14.76,2967.0,0.1523,0.7532,0.0095,183.6,0.1291,0.1556,0.5643,0.0,190.0,0.0613,0.5815,0.1426,0.1082
dImage3,7,787.1,520.2,0.33,913.5,662.0,1.38,132.0,100.33,79558.0,0.1601,1.0,0.0,190.0,0.0007,0.0007,0.3587,0.0,190.0,0.0098,0.4087,0.1285,0.1222
dImage3,8,388.4,513.7,0.1215,510.5,309.7,1.65,170.0,43.28,12638.0,0.4563,1.0,0.0,190.0,0.0654,0.0654,0.6354,0.0,190.0,0.002,0.3965,0.0991,0.1215
dImage3,9,295.5,516.7,0.1015,559.5,249.9,2.24,8.0,32.74,7989.0,0.3251,1.0,0.0163,346.8,0.2058,0.0779,0.6336,0.0,190.0,0.019,0.4732,0.1621,0.113
dImage3,10,733.7,555.4,0.3408,1129.0,893.6,1.26,128.0,57.8,47341.0,0.1367,1.0,0.0,190.0,0.0083,0.0083,0.4809,0.1189,183.6,0.0309,0.5864,0.1071,0.1427
